nonanal   E_solv = -5.090622511185332 kcal/mol
4_chloroaniline   E_solv = -8.471123891462447 kcal/mol
NN_dimethyl_p_methylbenzamide   E_solv = -8.955191651334639 kcal/mol
1_iodohexane   E_solv = -2.054366666011458 kcal/mol
but_1_yne   E_solv = -1.1333247029397517 kcal/mol
diisopropylamine   E_solv = -3.4735627699998246 kcal/mol
23_dimethylbuta_13_diene   E_solv = -1.292721531084483 kcal/mol
2_methylpyrazine   E_solv = -6.594815266805746 kcal/mol
2_ethylpyridine   E_solv = -4.257629383832388 kcal/mol
1_methyl_imidazole   E_solv = -6.353385252807825 kcal/mol
sec_butylbenzene   E_solv = -2.3530425387302984 kcal/mol
3_chlorophenol   E_solv = -8.464438117794833 kcal/mol
13_dimethylnaphthalene   E_solv = -4.177453122306657 kcal/mol
ethylbenzene   E_solv = -2.532077744542257 kcal/mol
acetonitrile   E_solv = -4.182415451455501 kcal/mol
1245_tetrachlorobenzene   E_solv = -1.3180634802327544 kcal/mol
dimethyl_sulfone   E_solv = -11.114934502253547 kcal/mol
isoamyl_formate   E_solv = -5.401613459371227 kcal/mol
NN_dimethylformamide   E_solv = -7.404745764246417 kcal/mol
cyanobenzene   E_solv = -4.787580751432773 kcal/mol
3_methylbutan_1_ol   E_solv = -6.741745179474879 kcal/mol
nonan_5_one   E_solv = -4.438600107921245 kcal/mol
hexa_15_diene   E_solv = -0.9836822461319532 kcal/mol
chlorofluoromethane   E_solv = -3.0614983869843124 kcal/mol
ethene   E_solv = -0.5174806106545321 kcal/mol
112_trichloroethane   E_solv = -3.6829279155456196 kcal/mol
3_methylbutan_2_one   E_solv = -4.737601455064305 kcal/mol
heptan_4_one   E_solv = -4.344080544556622 kcal/mol
12_diethoxyethane   E_solv = -5.690800605999917 kcal/mol
pentan_2_one   E_solv = -4.737108424270407 kcal/mol
N_methylaniline   E_solv = -7.46467505332314 kcal/mol
12_dimethoxyethane   E_solv = -6.129594464792399 kcal/mol
benzyl_alcohol   E_solv = -7.352278450718878 kcal/mol
pentachloroethane   E_solv = -1.5889628148192239 kcal/mol
4_bromophenol   E_solv = -8.955172403158063 kcal/mol
ethyl_hexanoate   E_solv = -4.749156406957523 kcal/mol
methyl_isopropyl_ether   E_solv = -2.554666498771377 kcal/mol
1_methyl_pyrrole   E_solv = -3.6407557183466155 kcal/mol
pentanal   E_solv = -5.020057300838668 kcal/mol
1_bromopentane   E_solv = -1.092733165289558 kcal/mol
trans_14_dimethylcyclohexane   E_solv = -0.048494809653544635 kcal/mol
isobutyl_isobutanoate   E_solv = -4.322310649025757 kcal/mol
n_hexylbenzene   E_solv = -2.524778959985486 kcal/mol
12_dichloropropane   E_solv = -2.9763194603352674 kcal/mol
2_methylpyridine   E_solv = -4.380508299143304 kcal/mol
oct_1_ene   E_solv = -0.5224161291599301 kcal/mol
111_trifluoro_222_trimethoxyethane   E_solv = -5.078233542636527 kcal/mol
tetrachloromethane   E_solv = -0.17796149241840303 kcal/mol
quinoline   E_solv = -5.511721531123223 kcal/mol
1_methylcyclohexene   E_solv = -0.6457257861070572 kcal/mol
2_methoxyphenol   E_solv = -7.931563940190986 kcal/mol
styrene   E_solv = -3.2495414493910717 kcal/mol
2_ethoxyethanol   E_solv = -11.573387214806095 kcal/mol
pent_1_ene   E_solv = -0.5124021159375499 kcal/mol
bis_2_chloroethyl_ether   E_solv = -5.9727791141691755 kcal/mol
methyl_ethyl_sulfide   E_solv = -2.1396761825767636 kcal/mol
4_methylpentan_2_one   E_solv = -4.659734719505317 kcal/mol
heptan_1_ol   E_solv = -5.783233057988227 kcal/mol
4_cyanopyridine   E_solv = -6.508632629113023 kcal/mol
n_butylamine   E_solv = -5.567628857833978 kcal/mol
1_bromopropane   E_solv = -1.111569572020866 kcal/mol
23_dimethylbutane   E_solv = -0.03172464826104425 kcal/mol
methanethiol   E_solv = -3.450170742868723 kcal/mol
cyclopentene   E_solv = -0.7126467863901316 kcal/mol
2_methylpent_1_ene   E_solv = -0.5447078337912229 kcal/mol
n_propyl_formate   E_solv = -5.388283660519233 kcal/mol
2_nitrophenol   E_solv = -11.55524791545183 kcal/mol
2_naphthylamine   E_solv = -10.187491181177792 kcal/mol
24_dimethylpentan_3_one   E_solv = -4.146485420365138 kcal/mol
octan_2_one   E_solv = -4.753062190735862 kcal/mol
n_nonane   E_solv = -0.06318966429231129 kcal/mol
111_trichloroethane   E_solv = -1.3677503842992953 kcal/mol
2_bromo_2_methylpropane   E_solv = -1.348914065544293 kcal/mol
diethyl_malonate   E_solv = -9.877339769211458 kcal/mol
22_dimethylbutane   E_solv = -0.03124162464500501 kcal/mol
methyl_octanoate   E_solv = -4.9024652335219425 kcal/mol
2_ethylpyrazine   E_solv = -6.304958880055659 kcal/mol
4_acetylpyridine   E_solv = -8.376136536527905 kcal/mol
E_but_2_enal   E_solv = -5.884639869555913 kcal/mol
pyrene   E_solv = -6.957301920869005 kcal/mol
3_chloroprop_1_ene   E_solv = -2.0543095803454787 kcal/mol
penta_14_diene   E_solv = -1.1132004459629714 kcal/mol
n_decane   E_solv = -0.06915144687156345 kcal/mol
4_nitrophenol   E_solv = -10.754828005933813 kcal/mol
di_n_butylamine   E_solv = -3.8298392510089116 kcal/mol
n_pentylamine   E_solv = -5.634251707060376 kcal/mol
triethylamine   E_solv = -2.5366461819159687 kcal/mol
2_methylpropane   E_solv = -0.027146195388094492 kcal/mol
ethyl_formate   E_solv = -4.956621391347506 kcal/mol
4_tert_butylphenol   E_solv = -9.067160702112714 kcal/mol
2_methoxyethanamine   E_solv = -8.034060846967916 kcal/mol
E_12_dichloroethene   E_solv = -1.3554775945283548 kcal/mol
2_nitropropane   E_solv = -2.8568838541621826 kcal/mol
n_propylcyclopentane   E_solv = -0.06636031433422505 kcal/mol
benzamide   E_solv = -12.359387140344015 kcal/mol
2_chloro_111_trimethoxyethane   E_solv = -6.971593867125585 kcal/mol
octan_1_ol   E_solv = -6.802884714181859 kcal/mol
o_toluidine   E_solv = -7.636281127853821 kcal/mol
bromoethane   E_solv = -1.209465851353403 kcal/mol
n_butyl_acetate   E_solv = -5.066978321112477 kcal/mol
methyl_cyclohexyl_ketone   E_solv = -4.690876372763236 kcal/mol
224_trimethylpentane   E_solv = -0.037635610660026554 kcal/mol
isopropyl_acetate   E_solv = -4.979394978034277 kcal/mol
n_heptane   E_solv = -0.050163096879709476 kcal/mol
14_dimethylnaphthalene   E_solv = -4.18926793071769 kcal/mol
4_fluorophenol   E_solv = -8.907721265779122 kcal/mol
3_methylhexane   E_solv = -0.03786209967841618 kcal/mol
diethyl_sulfide   E_solv = -2.247929329799522 kcal/mol
n_butane   E_solv = -0.03056300293291168 kcal/mol
2_methylbuta_13_diene   E_solv = -1.268128224422133 kcal/mol
12_dichloroethane   E_solv = -3.1470331141683685 kcal/mol
hexan_1_ol   E_solv = -5.744903031803266 kcal/mol
135_trimethylbenzene   E_solv = -2.3630084731320964 kcal/mol
23_dimethylnaphthalene   E_solv = -4.184770282919331 kcal/mol
n_octylamine   E_solv = -5.604594802335914 kcal/mol
1_ethylnaphthalene   E_solv = -4.25277630672006 kcal/mol
pentan_3_one   E_solv = -4.5756851384016155 kcal/mol
14_dichlorobutane   E_solv = -2.98121684724062 kcal/mol
3_formylpyridine   E_solv = -8.584626517526567 kcal/mol
2_chloropyridine   E_solv = -4.926208231808844 kcal/mol
2_methylpentan_3_ol   E_solv = -4.486751564718315 kcal/mol
fluoromethane   E_solv = -1.8500421276427852 kcal/mol
135_trichlorobenzene   E_solv = -1.4768766659118753 kcal/mol
4_n_propylphenol   E_solv = -8.878379969976896 kcal/mol
26_dimethylaniline   E_solv = -6.513310897391276 kcal/mol
nitroethane   E_solv = -2.9485382690567086 kcal/mol
4_cyanophenol   E_solv = -11.33763332081007 kcal/mol
1_methylnaphthalene   E_solv = -4.3431864838916745 kcal/mol
aniline   E_solv = -8.40766297676331 kcal/mol
diethyl_disulfide   E_solv = -2.6952759299291493 kcal/mol
12_diacetoxyethane   E_solv = -10.341389207056881 kcal/mol
12_dichlorobenzene   E_solv = -2.468263668330053 kcal/mol
benzotrifluoride   E_solv = -3.6399611722780443 kcal/mol
1_iodobutane   E_solv = -2.088161909089291 kcal/mol
n_propyl_acetate   E_solv = -4.933815665055418 kcal/mol
but_1_ene   E_solv = -0.5006171555992437 kcal/mol
diethoxymethoxybenzene   E_solv = -6.2892210827093775 kcal/mol
3_methyl_1h_indole   E_solv = -8.36018055378776 kcal/mol
methoxyflurane   E_solv = -3.0984273743517847 kcal/mol
di_n_butyl_ether   E_solv = -2.0988876181495257 kcal/mol
toluene   E_solv = -2.599162198432341 kcal/mol
1_chlorohexane   E_solv = -1.4698371708823728 kcal/mol
methyl_ethyl_ether   E_solv = -2.6072448726581774 kcal/mol
1_nitrobutane   E_solv = -2.796561644891082 kcal/mol
cyclohexane   E_solv = -0.03696599937323246 kcal/mol
pentan_1_ol   E_solv = -5.917190629140326 kcal/mol
non_1_ene   E_solv = -0.5412298797901702 kcal/mol
3_methoxyaniline   E_solv = -10.110338693537319 kcal/mol
112_trichloro_122_trifluoroethane   E_solv = -0.4954238389183122 kcal/mol
23_dimethylpyridine   E_solv = -4.1957568557108464 kcal/mol
3_acetylpyridine   E_solv = -8.036273082497448 kcal/mol
Z_12_dichloroethene   E_solv = -2.255603658685684 kcal/mol
2_chlorobutane   E_solv = -1.5009794943183798 kcal/mol
cyclopropane   E_solv = -0.1624749849849892 kcal/mol
33_dimethylpentane   E_solv = -0.030057397367504398 kcal/mol
1_chlorobutane   E_solv = -1.4047232656839665 kcal/mol
dichloromethane   E_solv = -2.2066916490456143 kcal/mol
trichloromethane   E_solv = -1.9246413264783924 kcal/mol
methyl_hexanoate   E_solv = -4.897325658361022 kcal/mol
11_dichloroethane   E_solv = -2.0882816290780815 kcal/mol
hydrazine   E_solv = -12.907195984152608 kcal/mol
piperazine   E_solv = -7.856485855254584 kcal/mol
isobutyl_acetate   E_solv = -4.770175708844892 kcal/mol
1_chloropentane   E_solv = -1.468476088765954 kcal/mol
2_nitrotoluene   E_solv = -3.7152190663953824 kcal/mol
alpha_methylstyrene   E_solv = -3.2370859141659487 kcal/mol
n_pentylbenzene   E_solv = -2.509441619526303 kcal/mol
3_cyanopyridine   E_solv = -6.374412244719718 kcal/mol
n_pentylcyclopentane   E_solv = -0.07901056700752282 kcal/mol
NN_dimethyl_p_methoxybenzamide   E_solv = -10.722973573705145 kcal/mol
chloroethane   E_solv = -1.525192368383613 kcal/mol
225_trimethylhexane   E_solv = -0.04218827607764112 kcal/mol
4_methylbenzaldehyde   E_solv = -6.6419632222796965 kcal/mol
tetrahydrofuran   E_solv = -2.9326130732389992 kcal/mol
3_chloroaniline   E_solv = -8.148341184929533 kcal/mol
13_dichloropropane   E_solv = -2.6590689913165035 kcal/mol
methyl_butanoate   E_solv = -4.8429238583215115 kcal/mol
3_methylbutanoic_acid   E_solv = -10.324497993741835 kcal/mol
chloroethylene   E_solv = -1.4233663751120795 kcal/mol
tribromomethane   E_solv = -1.0094686267254245 kcal/mol
2_methylpentan_2_ol   E_solv = -5.487229866772919 kcal/mol
pyrrole   E_solv = -6.285183039488177 kcal/mol
dimethyl_sulfide   E_solv = -2.0213267592726196 kcal/mol
azetidine   E_solv = -4.649074546960603 kcal/mol
methane   E_solv = -0.00753526258428121 kcal/mol
14_dichlorobenzene   E_solv = -2.2673789528205015 kcal/mol
bromobenzene   E_solv = -2.5925099462331644 kcal/mol
tetrahydropyran   E_solv = -2.494427286619504 kcal/mol
11_difluoroethane   E_solv = -2.845372549067003 kcal/mol
2_chloropropane   E_solv = -1.5784489510818691 kcal/mol
phenyl_formate   E_solv = -7.5100936631915465 kcal/mol
cyclopentane   E_solv = -0.05402239006133689 kcal/mol
biphenyl   E_solv = -4.2217175795759605 kcal/mol
34_dimethylphenol   E_solv = -8.526244565914254 kcal/mol
propyne   E_solv = -1.2064692906679384 kcal/mol
3_chloropyridine   E_solv = -3.942935714970025 kcal/mol
nonan_2_one   E_solv = -4.774950632589985 kcal/mol
12_ethanediol   E_solv = -13.670085557173712 kcal/mol
hexafluoropropene   E_solv = -1.577304685464802 kcal/mol
